tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,icon
22.8,16.5,19.8,22.8,16.5,19.8,11.4,58.86,0.0,0.0,0.0,0.0,37.1,27.4,175.7,1021.3,23.7,16.0,339.7,18.3,7,0.8,partly-cloudy-day
21.2,16.1,18.4,21.2,16.1,18.5,12.6,68.97,0.0,0.0,0.0,0.0,41.8,34.7,29.8,1026.3,42.2,15.9,204.8,11.1,5,0.85,wind
22.2,13.7,18.1,22.2,13.7,18.1,11.6,66.97,0.0,0.0,0.0,0.0,38.9,24.0,105.1,1023.5,23.0,16.0,339.1,18.3,7,0.9,partly-cloudy-day
23.4,14.8,19.5,23.4,14.8,19.5,11.8,62.7,0.0,0.0,0.0,0.0,40.102665161708615,25.4,175.8,1018.7,39.8,16.0,291.9,15.8,6,0.94,partly-cloudy-day
23.4,17.1,20.4,23.4,17.1,20.5,15.6,74.32,8.43,41.67,0.0,0.0,41.87150487767684,27.0,141.4,1013.6,70.9,13.1,148.7,9.1,6,0.98,rain
29.9,20.0,24.2,29.1,20.0,24.2,16.6,65.44,15.06,25.0,0.0,0.0,31.7,22.1,281.5,1009.3,55.3,13.5,216.1,14.8,7,1.0,rain
30.6,18.2,25.1,30.5,18.2,25.0,14.2,51.87,0.0,0.0,0.0,0.0,42.7,32.9,242.4,1014.4,12.2,16.0,210.6,17.4,7,0.0,wind
27.2,20.4,24.0,26.6,20.4,24.0,9.9,41.47,0.0,0.0,0.0,0.0,33.3,20.3,314.2,1021.4,35.1,16.0,209.8,17.4,7,0.01,partly-cloudy-day
21.8,16.5,19.5,21.8,16.5,19.5,12.2,62.9,0.0,0.0,0.0,0.0,34.35393608481186,20.2,188.5,1027.4,35.7,16.0,213.9,16.9,6,0.03,partly-cloudy-day
24.9,16.6,20.6,24.9,16.6,20.6,15.3,72.7,27.36,20.83,0.0,0.0,42.5,22.1,191.5,1018.8,55.7,14.9,125.6,9.5,6,0.07,rain
23.9,19.2,21.4,23.9,19.2,21.4,15.6,69.87,0.0,0.0,0.0,0.0,34.46448856705989,20.3,209.2,1016.3,30.6,15.9,205.3,17.0,7,0.11,partly-cloudy-day
30.0,18.3,23.2,31.0,18.3,23.6,17.6,71.78,8.05,4.17,0.0,0.0,62.5,33.0,208.4,1013.6,62.6,15.3,180.3,12.3,5,0.16,rain
21.6,16.6,18.7,21.6,16.6,18.7,9.9,57.11,0.0,0.0,0.0,0.0,31.7,20.2,185.8,1017.7,44.6,16.0,255.5,15.6,7,0.22,partly-cloudy-day
20.0,15.5,18.1,20.0,15.5,18.1,12.6,70.51,0.0,0.0,0.0,0.0,50.2,31.3,87.8,1015.4,64.3,16.0,111.3,7.2,3,0.27,wind
23.3,13.8,18.4,23.3,13.8,18.4,10.6,62.32,0.98,25.0,0.0,0.0,49.7,34.9,267.2,1006.5,68.5,15.1,111.3,7.6,5,0.32,rain
25.5,16.5,20.3,25.5,16.5,20.4,10.0,52.96,0.0,0.0,0.0,0.0,31.7,22.1,263.1,1014.8,41.0,16.0,306.0,14.3,7,0.37,partly-cloudy-day
20.7,15.4,18.5,20.7,15.4,18.5,11.1,62.53,0.0,0.0,0.0,0.0,38.22327296349237,23.7,182.2,1024.5,44.1,16.0,286.6,15.5,7,0.41,partly-cloudy-day
22.2,17.7,19.7,22.2,17.7,19.7,15.0,75.04,0.0,0.0,0.0,0.0,32.14288643985158,18.2,116.3,1027.0,50.5,16.0,120.4,9.5,5,0.44,partly-cloudy-day
30.6,19.3,25.1,31.9,19.3,25.5,18.1,66.01,0.0,0.0,0.0,0.0,42.5,33.1,230.0,1018.5,54.9,16.0,162.6,11.7,6,0.47,wind
24.2,15.5,18.6,24.2,15.5,18.6,14.0,74.54,1.85,16.67,0.0,0.0,41.8,29.0,124.5,1020.4,47.6,15.8,54.9,3.8,2,0.49,rain
19.3,12.0,16.1,19.3,12.0,16.1,7.7,59.28,0.0,0.0,0.0,0.0,44.6,29.1,142.1,1031.1,27.8,15.9,252.9,16.4,7,0.5,partly-cloudy-day
22.2,11.5,17.6,22.2,11.5,17.6,12.3,71.42,3.23,12.5,0.0,0.0,50.8,33.3,186.0,1026.2,55.6,15.9,84.0,6.0,3,0.5,rain
27.2,19.8,23.1,26.8,19.8,23.1,14.0,59.69,2.01,8.33,0.0,0.0,32.0,25.5,261.7,1018.6,40.3,15.7,229.4,15.7,6,0.51,rain
23.3,17.6,20.2,23.3,17.6,20.2,9.0,49.51,0.0,0.0,0.0,0.0,34.3,24.1,319.5,1017.0,39.4,16.0,204.4,15.5,6,0.53,partly-cloudy-day
20.6,14.7,17.4,20.6,14.7,17.4,9.0,58.27,0.0,0.0,0.0,0.0,35.3,25.5,180.6,1019.8,44.7,15.9,171.3,12.9,6,0.55,partly-cloudy-day
17.8,12.0,15.3,17.8,12.0,15.3,6.2,55.22,0.0,0.0,0.0,0.0,38.9,27.4,58.5,1025.3,40.0,16.0,129.4,10.2,4,0.59,partly-cloudy-day
17.9,9.7,14.5,17.9,7.7,14.4,6.0,57.51,0.0,0.0,0.0,0.0,30.04238927713931,16.3,196.3,1026.5,16.3,16.0,205.9,15.6,6,0.63,clear-day
25.6,11.5,19.1,25.6,11.5,19.1,8.1,51.04,0.0,0.0,0.0,0.0,28.052444596675052,14.5,266.6,1021.1,21.7,16.0,233.2,18.5,7,0.67,partly-cloudy-day
27.9,18.1,22.2,27.4,18.1,22.2,12.1,53.29,0.0,0.0,0.0,0.0,39.992112679460604,25.3,224.0,1021.0,7.6,16.0,289.9,20.9,7,0.72,clear-day
31.1,17.1,23.9,30.1,17.1,23.7,14.0,56.34,0.0,0.0,0.0,0.0,38.6,25.5,219.0,1018.6,33.6,15.9,292.2,18.9,7,0.78,partly-cloudy-day
33.3,21.1,25.9,33.7,21.1,26.3,17.8,62.62,0.0,0.0,0.0,0.0,50.0,31.2,218.4,1009.0,62.2,16.0,211.1,14.4,7,0.83,wind
25.6,18.7,22.3,25.6,18.7,22.3,14.0,60.98,3.48,16.67,0.0,0.0,38.9,25.7,264.5,1005.9,43.5,16.0,159.0,12.0,6,0.88,rain
23.3,14.8,18.1,23.3,14.8,18.1,10.2,61.06,0.0,0.0,0.0,0.0,33.5,21.8,247.1,1010.2,26.2,16.0,173.1,12.5,6,0.93,partly-cloudy-day
28.8,14.9,19.8,28.0,14.9,19.8,13.0,67.52,6.76,12.5,0.0,0.0,58.5,32.9,216.1,1009.2,31.3,15.3,148.3,12.3,6,0.97,rain
22.8,14.7,18.4,22.8,14.7,18.4,10.1,59.53,0.0,0.0,0.0,0.0,37.1,20.2,236.3,1017.5,17.4,15.9,301.4,14.1,6,0.99,clear-day
26.7,15.5,20.7,27.2,15.5,20.8,13.8,65.68,0.0,0.0,0.0,0.0,42.9,32.9,206.7,1018.4,29.1,16.0,167.4,12.7,6,1.0,wind
22.8,16.5,20.5,22.8,16.5,20.5,12.5,61.19,0.0,0.0,0.0,0.0,38.8,27.3,214.6,1022.5,49.0,16.0,145.6,11.5,5,0.0,partly-cloudy-day
16.2,11.1,14.3,16.2,11.1,14.3,6.8,60.8,0.0,0.0,0.0,0.0,27.7,20.3,149.3,1027.3,59.2,16.0,147.1,11.1,5,0.02,partly-cloudy-day
22.2,13.8,17.8,22.2,13.8,17.8,13.1,74.25,1.29,12.5,0.0,0.0,40.7,24.0,196.7,1016.9,88.0,15.9,64.7,5.4,3,0.05,rain
24.9,13.3,20.3,24.9,13.3,20.3,16.1,77.01,5.7,25.0,0.0,0.0,42.5,29.1,163.2,1009.6,67.1,12.9,32.9,2.7,2,0.09,rain
13.3,11.1,12.0,13.3,11.1,12.0,4.4,59.6,0.04,12.5,0.0,0.0,46.4,31.2,80.3,1020.7,69.6,15.8,61.7,4.7,2,0.14,rain
16.6,8.8,13.0,16.6,6.3,12.8,5.7,63.9,2.89,29.17,0.0,0.0,53.2,36.5,287.5,1016.8,57.2,13.9,94.2,8.1,4,0.19,rain
13.9,5.9,9.9,13.9,2.3,8.5,0.4,52.2,0.0,0.0,0.0,0.0,31.7,20.1,221.2,1029.4,14.9,16.0,170.7,12.9,6,0.24,clear-day
20.6,7.6,14.8,20.6,5.6,14.1,8.2,64.73,0.0,0.0,0.0,0.0,53.6,29.2,199.3,1027.1,50.4,16.0,95.8,7.6,4,0.29,partly-cloudy-day
26.7,16.7,22.6,26.7,16.7,22.6,14.6,61.67,3.64,12.5,0.0,0.0,63.3,45.8,192.7,1020.2,59.9,15.1,131.0,10.4,5,0.34,rain
18.3,13.8,16.1,18.3,13.8,16.1,11.1,72.5,0.74,29.17,0.0,0.0,27.7,20.2,200.1,1024.0,56.4,15.8,58.9,4.9,2,0.38,rain
15.6,12.8,14.2,15.6,12.8,14.2,8.5,68.81,1.78,16.67,0.0,0.0,48.5,38.3,57.6,1026.2,60.0,15.5,57.4,3.5,1,0.42,rain
15.0,12.2,13.5,15.0,12.2,13.4,6.8,64.81,0.59,8.33,0.0,0.0,60.7,40.2,67.5,1024.6,54.9,16.0,46.7,2.5,1,0.45,rain
14.3,11.7,12.9,14.3,11.7,12.9,8.7,75.58,8.16,62.5,0.0,0.0,60.9,47.4,28.6,1021.2,75.0,9.8,31.3,2.5,1,0.47,rain
14.4,12.2,13.3,14.4,12.2,13.3,10.0,80.37,0.69,50.0,0.0,0.0,53.0,36.4,85.7,1014.8,86.4,9.5,37.4,3.1,2,0.49,rain
19.3,11.6,15.0,19.3,11.6,15.0,10.2,73.97,0.0,0.0,0.0,0.0,30.152941759387325,16.4,204.9,1016.4,56.0,15.9,129.4,10.2,5,0.5,partly-cloudy-day
17.9,11.1,14.6,17.9,11.1,14.6,10.6,77.14,0.0,0.0,0.0,0.0,34.35393608481186,20.2,143.8,1014.8,47.6,15.7,107.0,8.5,4,0.5,partly-cloudy-day
17.8,10.5,13.7,17.8,10.5,13.7,4.1,53.75,0.0,0.0,0.0,0.0,33.4,22.1,260.2,1018.7,22.4,16.0,159.5,11.5,5,0.52,partly-cloudy-day
16.7,8.1,12.7,16.7,6.6,12.3,7.1,69.72,1.9,12.5,0.0,0.0,64.3,51.3,128.4,1013.4,41.6,15.5,104.3,8.3,4,0.53,rain
17.8,11.1,13.4,17.8,11.1,13.4,7.3,67.85,29.6,37.5,0.0,0.0,105.6,75.7,212.6,983.9,70.0,13.8,71.0,5.6,3,0.56,rain
16.1,9.8,12.4,16.1,7.6,12.3,3.1,53.52,0.0,0.0,0.0,0.0,47.9,34.9,291.7,1004.7,43.5,16.0,71.1,5.4,4,0.6,wind
16.2,7.1,11.3,16.2,4.4,10.3,1.4,51.7,0.0,0.0,0.0,0.0,35.3,20.4,282.1,1015.4,19.1,16.0,124.3,10.7,5,0.65,clear-day
15.0,7.0,11.6,15.0,5.3,11.2,5.9,67.87,0.0,0.0,0.0,0.0,26.062499916210797,12.7,195.3,1018.3,51.5,16.0,83.4,7.2,4,0.7,partly-cloudy-day
16.8,11.6,13.9,16.8,11.6,13.9,9.0,72.67,0.01,8.33,0.0,0.0,31.7,25.6,42.4,1019.2,31.3,16.0,121.8,10.5,5,0.75,rain
15.7,10.5,13.0,15.7,10.5,13.0,9.7,80.91,1.16,16.67,0.0,0.0,35.3,27.5,130.3,1019.0,56.2,13.1,48.7,4.0,2,0.81,rain
21.1,13.6,16.3,21.1,13.6,16.4,8.8,65.44,13.29,50.0,0.0,0.0,44.5,33.3,221.5,1010.8,55.9,10.6,93.7,6.4,4,0.86,rain
20.6,9.8,14.9,20.6,8.0,14.8,2.8,45.49,0.0,0.0,0.0,0.0,44.6,29.0,235.8,1023.3,6.5,16.0,120.0,10.4,5,0.91,clear-day
17.2,12.7,14.1,17.2,12.7,14.1,6.8,62.16,0.0,0.0,0.0,0.0,33.5,20.0,170.0,1024.2,79.0,16.0,90.5,6.2,3,0.95,partly-cloudy-day
15.6,10.5,12.5,15.6,10.5,12.5,6.4,67.48,0.27,8.33,0.0,0.0,31.7,23.7,213.2,1023.3,48.8,15.9,139.0,9.0,5,0.98,rain
13.3,10.5,11.7,13.3,10.5,11.7,7.5,75.55,32.74,62.5,0.0,0.0,63.0,47.3,122.3,1018.1,69.8,10.7,13.0,1.0,0,1.0,rain
12.8,10.0,11.5,12.8,7.5,11.3,8.7,83.02,1.09,29.17,0.0,0.0,37.1,27.4,201.4,1021.0,80.8,11.3,31.1,2.7,1,0.0,rain
13.8,9.7,12.5,13.8,9.5,12.5,9.3,81.12,1.11,33.33,0.0,0.0,34.13283112031584,20.0,101.1,1027.3,61.5,13.0,34.1,2.9,1,0.01,rain
17.9,12.0,14.8,17.9,12.0,14.8,12.4,85.4,2.26,41.67,0.0,0.0,34.35393608481186,20.2,93.3,1025.1,68.3,11.0,99.3,5.7,5,0.04,rain
21.7,15.7,19.3,21.7,15.7,19.3,16.3,82.97,2.2,58.33,0.0,0.0,68.6,44.4,181.7,1012.4,84.6,12.6,28.7,2.5,1,0.07,rain
22.2,7.7,14.5,22.2,4.3,13.8,3.5,50.18,0.45,41.67,0.0,0.0,79.9,54.8,253.0,1009.7,39.7,14.9,156.5,9.0,5,0.11,rain
10.7,4.1,7.5,10.7,0.8,5.6,-1.9,51.75,0.0,0.0,0.0,0.0,34.022278638067824,19.9,209.4,1021.2,27.0,16.0,110.3,9.5,5,0.16,partly-cloudy-day
13.3,5.4,9.3,13.3,2.4,7.9,-2.2,45.97,0.0,0.0,0.0,0.0,36.6,20.5,279.3,1017.4,19.5,16.0,97.6,8.8,5,0.2,clear-day
12.8,5.4,8.9,12.8,2.3,7.3,-2.3,46.28,0.0,0.0,0.0,0.0,38.9,22.1,235.5,1026.6,39.9,16.0,109.0,9.4,4,0.25,partly-cloudy-day
14.3,7.1,12.0,14.3,4.7,11.5,8.6,79.81,10.15,33.33,0.0,0.0,33.5,20.1,189.4,1022.2,52.8,14.8,32.8,2.7,2,0.3,rain
12.8,5.9,9.8,12.8,3.9,8.5,-3.1,41.8,0.0,0.0,0.0,0.0,40.7,27.2,269.2,1024.9,18.1,16.0,109.3,9.1,4,0.35,clear-day
14.9,4.8,9.8,14.9,2.6,8.3,1.6,57.41,5.96,33.33,0.0,0.0,43.4,25.8,239.7,1019.4,62.0,15.1,33.0,2.9,1,0.39,rain
5.6,-0.7,1.9,1.8,-5.9,-3.6,-8.2,48.42,0.0,4.17,0.0,0.0,56.1,40.1,313.3,1017.6,39.7,16.0,84.8,7.3,5,0.43,wind
4.9,-2.3,1.1,2.4,-7.8,-3.0,-10.3,43.63,0.0,0.0,0.0,0.0,33.5,22.0,247.4,1024.8,21.7,16.0,101.4,8.8,4,0.46,partly-cloudy-day
11.7,0.5,6.2,11.7,-3.3,3.5,-3.6,51.02,0.0,0.0,0.0,0.0,43.3,29.3,220.4,1017.6,46.4,16.0,77.1,6.7,4,0.48,partly-cloudy-day
11.7,6.6,8.9,11.7,3.8,7.2,1.9,62.03,0.0,0.0,0.0,0.0,35.3,21.7,154.7,1018.0,75.2,15.9,37.0,3.2,2,0.49,partly-cloudy-day
6.7,-2.8,3.1,4.0,-10.3,-1.2,-2.1,70.25,2.02,20.83,0.0,0.0,55.0,36.7,279.5,1009.7,73.0,11.4,14.7,1.2,0,0.5,rain
0.6,-6.2,-3.1,-5.3,-14.7,-10.0,-16.4,35.5,0.0,0.0,0.0,0.0,53.3,36.6,303.8,1023.3,22.0,16.0,102.0,8.8,4,0.51,wind
4.9,-4.5,0.5,2.4,-9.8,-2.8,-7.3,56.45,0.0,0.0,0.0,0.0,29.931836794891296,16.2,217.9,1029.9,53.6,16.0,48.4,3.7,3,0.52,partly-cloudy-day
12.2,2.0,7.0,12.2,-2.4,4.3,-4.3,46.77,0.0,0.0,0.0,0.0,44.4,29.1,245.2,1020.6,29.6,16.0,155.2,10.1,5,0.54,partly-cloudy-day
5.5,-2.2,0.7,2.2,-8.3,-4.4,-16.3,27.95,0.0,0.0,0.0,0.0,47.9,31.2,296.1,1030.7,20.9,16.0,209.4,8.3,4,0.58,wind
7.1,-2.3,1.7,3.3,-8.6,-3.2,-6.0,57.47,0.0,0.0,0.0,0.0,44.6,31.0,227.7,1028.2,78.1,16.0,32.9,2.3,1,0.63,wind
4.9,2.2,3.8,1.5,-3.1,-0.8,0.3,78.4,6.31,54.17,0.0,0.0,46.4,34.7,338.9,1010.6,92.3,11.4,17.5,1.2,1,0.68,rain
7.2,4.9,5.9,6.7,1.8,4.3,3.4,83.87,6.28,29.17,0.0,0.0,28.052444596675052,14.5,127.6,1008.0,72.3,11.1,25.8,2.2,1,0.73,rain
5.6,3.8,4.6,3.2,-0.5,1.2,1.9,82.4,5.78,66.67,0.0,0.0,33.5,20.3,327.6,1012.6,73.9,12.1,19.0,1.6,1,0.79,rain
10.6,2.5,5.8,10.6,-1.7,3.0,-0.5,65.07,0.0,0.0,0.0,0.0,35.3,22.0,272.2,1018.3,31.1,16.0,117.3,7.6,4,0.85,partly-cloudy-day
13.3,4.9,8.7,13.3,-0.3,6.2,1.8,62.54,2.42,20.83,0.0,0.0,58.9,33.4,235.0,1006.6,76.2,15.0,22.3,1.9,1,0.9,rain
8.3,1.6,4.7,6.1,-2.9,1.2,-7.9,40.27,0.0,0.0,0.0,0.0,41.7,23.8,255.3,1012.0,50.4,16.0,94.0,7.8,4,0.94,partly-cloudy-day
8.8,4.3,6.1,5.2,-0.3,2.4,2.4,77.7,38.2,75.0,0.0,0.0,67.7,49.5,179.7,995.4,86.6,10.3,10.0,0.9,0,0.97,rain
12.2,4.9,8.3,12.2,0.7,6.0,0.2,57.58,0.0,0.0,0.0,0.0,44.6,27.5,257.7,1005.8,40.1,16.0,77.1,6.7,4,1.0,partly-cloudy-day
17.2,4.3,10.2,17.2,1.6,9.4,2.5,60.95,0.0,0.0,0.0,0.0,42.4,31.4,212.0,1014.7,40.7,14.9,84.3,7.3,4,1.0,wind
11.7,4.9,8.8,11.7,3.9,8.2,5.6,80.2,5.05,16.67,0.0,0.0,38.9,23.8,140.8,1011.5,47.9,12.5,41.6,3.6,2,0.0,rain
12.1,2.2,6.7,12.1,-4.9,2.5,0.6,65.56,3.53,33.33,0.0,0.0,62.4,45.6,310.0,1005.1,60.0,15.8,25.3,2.2,1,0.02,rain
6.1,-0.1,2.5,1.1,-6.2,-3.0,-6.6,51.6,0.0,0.0,0.0,0.0,53.3,38.3,319.2,1018.0,29.0,16.0,81.4,7.0,4,0.05,wind
3.8,-2.9,0.0,-1.1,-9.5,-5.9,-14.2,35.02,0.0,0.0,0.0,0.0,46.3,31.4,313.3,1014.2,29.3,16.0,128.6,7.4,4,0.08,wind
3.3,-5.2,-1.1,-1.3,-10.6,-5.6,-7.3,63.19,13.54,29.17,3.74,3.74,53.6,43.5,222.8,1014.4,68.3,13.1,30.2,2.5,2,0.12,snow
5.6,-1.7,2.9,0.1,-8.4,-3.3,0.4,83.15,13.68,100.0,5.25,9.0,67.2,50.8,118.4,1002.1,72.5,4.8,21.0,1.7,1,0.17,snow
2.1,-1.2,0.2,-3.6,-8.7,-5.7,-4.4,72.11,3.86,75.0,5.94,14.94,49.2,36.6,319.9,994.5,57.6,6.8,27.9,2.4,1,0.21,snow
4.2,-1.3,1.7,0.6,-6.5,-2.3,-4.9,61.3,0.0,0.0,1.7,16.64,35.3,21.8,246.3,998.4,73.5,16.0,46.0,3.8,2,0.26,snow
7.1,1.1,3.9,2.9,-4.2,-0.3,-4.2,56.42,0.0,0.0,0.0,15.05,45.8,31.3,277.3,1003.6,44.4,15.9,76.8,6.6,4,0.31,wind
2.8,-1.3,0.8,2.8,-6.2,-3.1,-5.9,61.82,0.75,20.83,0.78,12.39,40.7,23.7,238.2,1016.2,50.6,13.7,32.0,2.0,1,0.35,snow
1.7,-3.0,-0.6,-2.9,-8.3,-5.8,-9.3,52.49,0.0,0.0,0.47,12.71,40.7,25.6,308.1,1025.7,28.5,16.0,91.1,7.5,4,0.39,snow
4.3,-5.3,-0.6,0.1,-9.9,-4.8,-8.7,55.31,0.0,0.0,0.0,11.13,50.0,22.2,239.6,1031.7,38.2,16.0,83.5,7.2,4,0.43,partly-cloudy-day
15.6,5.0,9.8,15.6,0.3,8.3,6.6,80.6,13.93,70.83,0.0,10.57,65.9,44.4,180.9,1017.7,72.4,10.0,13.7,1.2,1,0.46,rain
17.2,7.1,14.0,17.2,4.0,13.6,9.9,76.09,4.61,58.33,4.54,4.54,51.8,33.0,234.6,1007.7,45.3,15.5,37.3,3.2,2,0.48,snow
5.6,-0.8,1.3,2.1,-5.6,-3.0,-3.9,68.97,6.13,50.0,2.72,7.26,46.3,31.0,272.5,1022.7,37.2,11.3,46.1,4.0,3,0.5,snow
-0.1,-3.4,-1.3,-1.9,-9.2,-6.0,-10.8,48.84,0.0,0.0,0.0,6.08,49.9,36.3,270.0,1037.3,27.3,16.0,100.7,7.2,4,0.5,wind
7.7,-2.3,3.3,7.1,-6.5,0.3,-1.0,73.88,2.18,25.0,0.0,4.16,30.04238927713931,16.3,141.5,1031.0,59.9,14.1,33.5,2.7,2,0.51,rain
15.6,8.2,12.1,15.6,5.8,11.5,10.0,87.14,27.46,75.0,0.0,1.16,55.4,37.0,142.5,998.4,75.4,7.3,24.2,1.6,1,0.53,rain
12.8,1.7,7.3,12.8,-4.1,2.8,-3.9,45.55,0.0,0.0,0.0,0.0,66.2,45.9,266.2,1001.3,54.1,16.0,116.0,4.6,3,0.56,wind
1.7,-0.1,0.6,-2.3,-6.1,-4.1,-12.4,37.17,0.0,0.0,1.25,1.25,51.7,34.7,281.0,1021.9,55.5,16.0,71.0,3.1,2,0.61,snow
3.3,-2.8,-0.1,-0.6,-7.2,-4.1,-5.0,71.75,16.48,75.0,3.37,3.32,37.1,22.2,195.9,1012.3,79.0,6.7,14.5,1.0,1,0.66,snow
3.3,-3.3,0.5,-0.2,-10.7,-4.7,-5.8,64.2,0.01,12.5,1.94,5.27,59.2,40.2,298.7,1006.7,43.7,14.5,85.5,6.2,4,0.71,snow
-3.9,-9.4,-6.4,-11.3,-20.3,-15.0,-18.8,36.96,0.0,0.0,0.0,4.23,66.2,47.5,286.5,1019.0,21.7,16.0,160.1,7.5,4,0.77,wind
0.6,-7.9,-4.3,-3.7,-17.1,-10.8,-14.6,44.75,0.0,0.0,0.0,3.67,47.3,32.8,307.3,1030.5,10.7,16.0,102.0,7.3,4,0.83,wind
1.1,-6.1,-1.8,1.1,-11.4,-4.9,-8.2,61.71,0.0,0.0,0.0,3.67,27.94189211442704,14.4,243.9,1035.1,53.7,16.0,59.3,4.7,3,0.88,partly-cloudy-day
6.7,-0.8,2.9,3.9,-5.3,-0.8,-4.1,60.89,0.0,0.0,0.0,3.45,36.343880765276126,22.0,223.3,1023.8,44.5,16.0,73.1,5.8,4,0.93,partly-cloudy-day
13.3,2.0,7.6,13.3,-2.1,5.8,-1.0,55.57,0.0,0.0,0.0,3.34,50.0,29.2,227.9,1014.5,30.2,15.9,88.0,7.3,4,0.96,partly-cloudy-day
9.8,2.6,5.9,7.9,-1.1,2.9,-6.0,42.72,0.0,0.0,0.0,2.66,38.9,22.2,321.5,1017.8,29.4,16.0,128.4,7.4,4,0.99,partly-cloudy-day
5.7,-0.2,2.2,5.0,-3.8,0.0,-5.3,58.28,0.0,0.0,0.0,2.33,27.94189211442704,14.4,266.0,1023.0,53.0,16.0,162.8,6.4,4,1.0,partly-cloudy-day
5.0,1.0,2.4,2.1,-2.3,-0.3,-2.9,67.96,0.0,0.0,0.0,0.78,37.1,27.1,117.9,1028.3,58.8,15.9,123.3,4.4,2,0.0,partly-cloudy-day
11.1,2.1,6.8,11.1,-1.3,4.9,1.7,70.39,0.29,4.17,0.0,0.0,50.0,31.3,199.9,1022.4,59.9,16.0,36.4,1.8,1,0.01,rain
10.6,3.6,7.9,10.6,0.0,5.1,-0.6,55.91,0.0,0.0,0.0,0.0,37.1,22.1,282.1,1019.4,24.9,15.9,125.6,6.3,4,0.03,partly-cloudy-day
6.7,2.0,3.8,6.7,-2.4,0.9,-3.7,58.66,1.31,16.67,0.0,0.0,31.7,21.8,229.8,1021.9,49.5,15.9,99.2,6.4,3,0.05,rain
4.3,2.8,3.5,3.8,-3.5,-1.5,0.7,81.98,30.24,100.0,0.63,0.63,63.5,47.5,66.6,1016.5,79.8,6.1,11.2,1.0,0,0.09,snow
6.6,3.3,4.6,3.0,-1.4,0.6,2.1,83.4,7.42,45.83,0.38,1.0,50.0,38.3,217.3,1003.2,84.8,10.1,25.5,2.2,1,0.13,snow
5.6,2.2,3.9,2.0,-2.8,-0.8,-4.3,55.89,0.0,0.0,0.0,0.33,56.1,33.2,267.6,1003.0,38.9,16.0,72.0,6.2,4,0.17,wind
8.8,1.1,4.9,5.5,-3.4,1.0,-4.7,50.65,0.0,0.0,0.0,0.0,42.5,28.7,231.5,1010.7,57.9,16.0,137.7,5.9,3,0.22,partly-cloudy-day
10.6,6.7,8.8,10.6,3.4,7.0,0.6,56.48,0.0,0.0,0.0,0.0,38.22327296349237,23.7,239.3,1008.2,78.8,16.0,61.1,2.2,1,0.26,partly-cloudy-day
8.8,4.9,7.3,8.3,1.2,5.9,3.8,78.51,3.18,37.5,0.0,0.0,27.7,18.2,192.6,1004.0,80.1,8.2,17.6,1.0,0,0.31,rain
4.3,0.5,2.9,0.7,-4.0,-2.2,-4.5,59.79,2.91,29.17,0.0,0.0,65.2,41.8,308.7,1004.1,58.4,14.7,62.9,5.2,3,0.36,rain
4.2,-2.3,0.7,0.7,-5.1,-2.2,-6.4,59.01,0.0,0.0,0.0,0.0,48.1,27.0,180.5,1013.2,42.0,15.7,85.8,4.0,3,0.4,partly-cloudy-day
5.6,1.0,3.3,4.6,-3.6,-0.2,-6.2,50.3,0.0,0.0,0.0,0.0,35.3,23.8,194.2,1015.4,55.0,16.0,170.3,6.1,4,0.44,partly-cloudy-day
6.7,-0.7,2.9,3.1,-7.5,-1.5,-5.5,56.54,0.59,8.33,0.0,0.0,64.8,40.0,243.6,1011.0,55.1,15.1,114.8,7.4,4,0.47,rain
0.6,-5.1,-2.2,-3.7,-13.8,-8.0,-16.2,33.75,0.0,0.0,0.0,0.0,57.4,38.2,272.9,1035.2,24.1,16.0,206.4,8.2,4,0.49,wind
11.7,-1.8,5.8,11.7,-6.5,2.8,-1.6,59.74,0.0,0.0,0.0,0.0,57.1,36.6,218.8,1032.7,72.4,16.0,49.8,3.6,2,0.5,wind
20.6,9.3,15.2,20.6,7.4,14.7,9.0,67.11,0.0,4.17,0.0,0.0,73.8,54.5,208.5,1021.4,51.7,16.0,125.0,6.8,4,0.51,wind
22.8,5.6,16.8,22.8,1.6,16.4,7.8,57.7,0.56,20.83,0.0,0.0,67.5,49.4,258.8,1014.7,63.5,15.5,147.1,6.9,4,0.52,rain
6.1,2.2,3.8,4.5,-2.3,0.5,-0.9,71.92,0.3,8.33,0.0,0.0,35.3,27.0,123.7,1030.7,90.6,13.7,27.1,1.4,1,0.55,rain
5.6,2.8,4.3,4.0,-0.1,2.1,0.5,76.52,0.01,8.33,0.0,0.0,26.062499916210797,12.7,198.5,1025.7,74.0,15.0,51.4,3.1,2,0.59,rain
10.0,4.8,7.3,7.4,1.8,5.0,-0.4,60.38,0.0,0.0,0.0,0.0,33.5,23.6,241.2,1018.8,52.1,15.0,82.0,7.1,4,0.64,partly-cloudy-day
8.3,0.0,4.4,4.5,-6.9,0.4,-3.0,60.12,2.54,33.33,0.0,0.0,71.7,44.0,246.8,1010.8,60.1,14.6,53.8,4.6,4,0.69,rain
-1.2,-8.9,-6.0,-7.6,-19.2,-14.5,-20.0,33.18,0.0,0.0,0.0,0.0,62.6,47.7,317.9,1030.6,17.4,16.0,136.4,7.9,4,0.75,wind
