tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,icon
18.8,10.6,13.8,18.8,10.6,13.8,7.5,66.63,0.29,4.17,0.0,0.0,48.2,29.0,179.1,1019.1,88.4,15.9,88.8,4.8,3,0.16,rain
21.1,13.8,17.5,21.1,13.8,17.5,5.0,47.16,0.15,8.33,0.0,0.0,37.2,25.7,268.1,1014.0,43.8,16.0,395.7,21.4,9,0.22,rain
12.8,6.6,8.8,12.8,4.6,7.7,2.1,64.86,10.23,62.5,0.0,0.0,29.6,20.1,126.3,1017.2,79.3,14.1,50.6,2.7,1,0.28,rain
12.2,6.7,9.4,12.2,2.2,7.3,4.4,71.56,16.96,25.0,0.0,0.0,51.6,39.6,77.0,1013.9,61.5,13.6,207.1,11.2,5,0.33,rain
8.3,6.1,7.3,6.2,1.8,4.1,4.6,83.15,7.7,66.67,0.0,0.0,42.5,29.0,54.3,1010.1,80.8,9.0,108.9,5.9,2,0.39,rain
16.1,7.2,11.6,16.1,4.3,10.7,3.4,59.92,0.0,0.0,0.0,0.0,36.4,25.7,295.3,1008.5,76.0,15.6,205.5,11.1,4,0.43,partly-cloudy-day
17.8,9.9,13.9,17.8,9.9,13.9,7.7,66.64,0.3,8.33,0.0,0.0,31.7,25.3,145.9,1009.8,46.8,15.9,293.3,15.8,6,0.46,rain
17.8,9.9,13.5,17.8,9.0,13.5,11.2,86.47,6.1,45.83,0.0,0.0,34.35393608481186,20.2,160.9,1008.4,57.8,12.2,50.1,2.7,1,0.49,rain
20.7,12.7,16.2,20.7,12.7,16.2,6.3,53.58,0.0,0.0,0.0,0.0,38.9,32.3,223.5,1012.9,41.7,16.0,411.5,23.7,10,0.5,wind
22.8,11.7,16.5,22.8,11.7,16.5,10.4,67.94,5.49,12.5,0.0,0.0,61.2,38.6,189.2,1017.1,62.4,15.3,152.9,8.3,5,0.5,rain
30.0,18.8,23.3,30.1,18.8,23.4,17.5,71.95,3.51,20.83,0.0,0.0,53.6,27.5,222.8,1007.2,57.3,15.7,273.5,14.8,8,0.52,rain
22.7,14.3,18.5,22.7,14.3,18.5,3.7,38.93,0.0,0.0,0.0,0.0,64.5,42.1,296.0,1008.3,34.8,16.0,440.6,23.8,10,0.54,wind
19.9,13.2,15.5,19.9,13.2,15.5,2.8,43.02,0.0,0.0,0.0,0.0,42.5,29.2,241.9,1020.8,37.1,16.0,418.4,24.1,9,0.57,partly-cloudy-day
21.1,11.7,16.2,21.1,11.7,16.2,8.7,61.88,0.04,12.5,0.0,0.0,55.3,40.0,203.4,1018.7,82.3,16.0,203.3,11.0,5,0.61,rain
22.2,12.0,17.9,22.2,12.0,17.9,10.2,62.24,3.49,12.5,0.0,0.0,63.7,45.9,190.5,1009.1,61.6,15.8,215.4,12.4,7,0.65,rain
21.2,11.6,17.1,21.2,11.6,17.1,6.9,52.33,0.0,0.0,0.0,0.0,48.2,31.3,198.0,1020.3,36.1,16.0,380.1,21.9,8,0.7,wind
30.6,12.2,22.7,30.1,12.2,22.5,12.0,54.82,6.53,12.5,0.0,0.0,50.9,32.8,239.2,1010.7,51.0,15.3,419.3,22.6,9,0.75,rain
23.8,14.2,18.7,23.8,14.2,18.7,11.3,63.29,0.0,0.0,0.0,0.0,31.7,27.2,163.8,1011.9,40.7,16.0,379.3,21.8,10,0.79,partly-cloudy-day
17.7,11.1,13.6,17.7,11.1,13.6,7.4,67.79,7.45,45.83,0.0,0.0,47.9,31.2,96.0,1013.2,77.8,12.5,91.0,5.2,3,0.84,rain
12.2,9.9,11.0,12.2,6.8,10.4,7.9,81.54,0.32,16.67,0.0,0.0,38.9,25.5,204.7,1008.2,81.2,14.5,72.2,4.4,2,0.88,rain
18.3,11.1,14.2,18.3,11.1,14.2,10.6,79.09,0.31,8.33,0.0,0.0,35.3,21.9,146.2,1008.2,64.8,16.0,171.1,9.2,4,0.92,rain
23.8,14.3,17.1,23.8,14.3,17.1,12.1,73.8,7.52,12.5,0.0,0.0,35.3,27.3,192.7,1006.4,51.4,15.3,304.9,17.6,7,0.96,rain
17.5,12.3,15.1,17.5,12.3,15.1,12.4,84.27,0.0,0.0,0.0,0.0,40.32377012620464,25.6,134.7,1010.7,68.0,8.5,318.4,18.3,8,0.98,partly-cloudy-day
16.5,11.7,13.7,16.5,11.7,13.7,11.7,87.77,0.09,12.5,0.0,0.0,31.7,24.4,73.4,1007.1,74.4,7.9,282.4,15.2,8,1.0,rain
22.8,14.4,17.9,22.8,14.4,17.9,3.7,43.71,2.08,16.67,0.0,0.0,56.6,36.7,266.1,1008.6,36.6,15.7,395.4,24.2,9,0.0,rain
22.2,12.6,17.5,22.2,12.6,17.5,2.5,38.02,0.0,0.0,0.0,0.0,38.9,22.3,277.1,1015.7,44.4,16.0,352.4,21.6,9,0.01,partly-cloudy-day
